"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1"
"pmse161" 0.73147997461408 0.730790539151327 0.736606418861472 0.743516841188226 0.728254785233035 0.73912710317002
"pmse162" 0.931784449722927 0.931726174524432 0.919256568486963 0.948401576555606 0.921129601823799 0.922512796705906
"pmse163" 0.646807588633405 0.647325690642658 0.635519279576123 0.654245167030904 0.640532537413106 0.635956823333988
"pmse164" 0.865965185681305 0.86594954880166 0.847423136914561 0.85293046958474 0.855184748020382 0.852909251925356
"pmse165" 0.691150762647212 0.690622180284316 0.712334494323489 0.710889105699692 0.690192360786953 0.704760045885683
"pmse166" 0.79191853301456 0.78985590239008 0.780430895696593 0.799188450246621 0.780051939345988 0.789992464132304
"pmse167" 0.891221700398624 0.889697378763946 0.888872997747386 0.874015435020535 0.900513131365977 0.921648021692344
"pmse168" 0.847566796726626 0.846979756482808 0.849737409590033 0.834316957329385 0.846841991316323 0.851706846641211
"pmse169" 0.793028016890568 0.7925637899766 0.806387041586249 0.808931512600981 0.837160025022974 0.803852567386993
"pmse170" 0.703651642624016 0.703111435412152 0.689378620919564 0.707791972139934 0.695265832737003 0.694996741146226
"pmse171" 0.8546714118799 0.856607053233205 0.85102527374388 0.826178151757315 0.847227660330653 0.841104555847001
"pmse172" 0.794384473468747 0.794470904410511 0.78719127645895 0.827448542220753 0.786720007790843 0.797461962935437
"pmse173" 0.914119931740285 0.915223577730651 0.907196458515854 0.94489054569058 0.916198918802167 0.902811836616292
"pmse174" 0.714752572885498 0.714692196418115 0.712219328200414 0.725589002529293 0.719688693573757 0.714969138113357
"pmse175" 0.91032273207936 0.911791773254393 0.938141761317654 0.994475138121547 0.913986302554482 0.924703658145104
"pmse176" 0.512623824157506 0.512924774415115 0.551070669328055 0.546830436164802 0.5260655943647 0.53974918425894
"pmse177" 0.922787238346961 0.921493524273552 0.910666605792971 0.93621219089508 0.909040622275088 0.926614001062015
"pmse178" 0.884778975172157 0.885471354041206 0.878788750975713 0.908817967800758 0.884708213668523 0.880998536961289
"pmse179" 0.803950866613675 0.80310336795415 0.829856767400646 0.84631295275895 0.820126639306212 0.824483690519742
"pmse180" 0.743688860338281 0.743930952024055 0.756517716421469 0.773069764276029 0.746877274593296 0.751627830641773
"pmse181" 0.959373830805479 0.959492356502215 0.934943617649903 0.954136240291944 0.943120337318092 0.941453819002812
